id,codigo,nombre,categoria,marca,precio,costo,stock,descripcion,imagen,activo,updatedAt,valor_venta_stock,inversion_stock,ganancia_unitaria,ganancia_proyectada,estado_stock,promos,notas
prod-sdc-001,SDC-001,Dedales o Fundas para Dedos,Dedales,,25,8,227,"Dedales gamer para celular, ideales para jugar con mejor deslizamiento, comodidad y precisión. Ayudan a reducir el sudor en pantalla y funcionan muy bien para Free Fire, PUBG Mobile, Call of Duty Mobile y otros juegos táctiles.",https://scontent.ftgu2-2.fna.fbcdn.net/v/t45.5328-4/677652330_1500160691729334_4118015065856447884_n.jpg?stp=dst-jpg_p960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeHOXzeWwS8JnqwSlyAzqpSvqSikc0bVu0ypKKRzRtW7TFx0OsnlAcWUPoESVbBUbnWjTdTH8AOEU_Dpt0grcjTf&_nc_ohc=Eu6K10t0270Q7kNvwF_EGTz&_nc_oc=Adp59PX6FuzWv9K0B0EcRp4Bj04hOIrLLxAfDB04g4CuUY1OCfyol2q-ZfBySBYPB5o&_nc_zt=23&_nc_ht=scontent.ftgu2-2.fna&_nc_gid=OjSpZ7JjINzjcwKmoKCRTQ&_nc_ss=7b2a8&oh=00_Af4XyFV9Yrv_vWh2CezlRQ0FHHT-av11Tutqk1yprkHBvQ&oe=69FD3C6C,True,2026-05-10T04:25:23,5675,1816,17,3859,Disponible,1=25 | 2=50 | 3=69 | 4=92 | 5=110 | 6=132 | 7=154 | 8=168 | 9=189 | 10=200,
prod-sdc-002,SDC-002,Gatillos Gamer Pro / Triggers Pro para celular,Gamer Móvil,,400,190,12,"Trigger gamer para celular, ideal para mejorar el control al apuntar, disparar y moverse en juegos móviles. Práctico para Free Fire, PUBG Mobile, Call of Duty Mobile y otros juegos de acción.",https://scontent.ftgu2-2.fna.fbcdn.net/v/t45.5328-4/676041307_1622203069066456_833207036229297481_n.jpg?stp=dst-jpg_p960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeF1LpcG2ri2R6BK98WklS8WLaI0EGwoyC0tojQQbCjILUIr3DzyFRM3mRk8YlU_bSjsiNU3ramv9chW3Cf55Ipx&_nc_ohc=EvmNhQh0PGYQ7kNvwG0FjQD&_nc_oc=AdpTc1H49mRkgUooNvg7BQfR1hVVVHr7Vl7mS2-DIv4lV8nHG9EwR1gALGa5F7gpkjI&_nc_zt=23&_nc_ht=scontent.ftgu2-2.fna&_nc_gid=9nznnTo5vJ8b9ldgDx1vXw&_nc_ss=7b2a8&oh=00_Af4GYjPnQecbgvrnlL4JwaiW73U31yudqWnaMAUAuSdDtg&oe=69FD62AB,True,2026-05-10T04:25:23,4800,2280,210,2520,Disponible,,
prod-sdc-003,SDC-003,Enfriador X112,Enfriador Gamer para Celular,X112,400,250,2,"Enfriador para celular, ayuda a reducir la temperatura del equipo durante partidas largas, manteniendo un mejor rendimiento y mayor comodidad al jugar.",https://scontent.ftgu2-2.fna.fbcdn.net/v/t39.84726-6/678969681_1863159007733174_8930140486556014096_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=92e707&_nc_eui2=AeGxhI97-NJM92kUUWF1RwZ0awEZrbtLW5NrARmtu0tbk9DqMP09lIeReeCPoBA7JfEIZcbp4W5ahJX7az21i7tI&_nc_ohc=ovc6pnU9rwgQ7kNvwFfKyxV&_nc_oc=AdpRlWWanDrYmaiG89EucQY8q6AjOFO1ASdld4-gaPwUl3ZAXKoqSa5FzMpMYe_7f5M&_nc_zt=14&_nc_ht=scontent.ftgu2-2.fna&_nc_gid=7bJJa9204AqiiFdLg8sd4w&_nc_ss=7b2a8&oh=00_Af77IRQCxtgOu4A0iQdZ4zXKjI6gqOPlKBj9EGP0n00wUA&oe=69FD770A,True,2026-05-10T04:25:23,800,500,150,300,Disponible,,
prod-sdc-005,SDC-005,Dedales o Fundas para Dedos Gamer V2 para Celular,Dedales,,50,0,1,"Dedales gamer versión V2 para celular, con tacto cómodo y buena respuesta en pantalla. Recomendados para quienes buscan más control, mejor deslizamiento y comodidad durante partidas largas.",,True,2026-05-10T04:25:23,50,0,50,50,Disponible,,
prod-sdc-006,SDC-006,Dedales Gamer Pro Hilo de Plata para Celular,Dedales,,190,0,1,"Dedales Memo para gaming móvil, diseñados para mejorar la sensibilidad al tocar la pantalla y mantener un deslizamiento más estable. Ideales para jugadores de Free Fire, PUBG Mobile, COD Mobile y juegos similares.",,True,2026-05-10T04:25:23,190,0,190,190,Disponible,,
prod-sdc-004,SDC-004,Guantes Hilo de Plata – Marca Memo,Gamer Móvil,MEMO,360,110,2,"Guantes Memo para gaming móvil, pensados para mayor comodidad, mejor agarre y menos sudor al jugar. Ayudan a mantener un toque más limpio y preciso en la pantalla durante partidas largas.",https://accmovilhn.com/wp-content/uploads/2022/02/Glovem.jpg,True,2026-05-10T04:25:23,720,220,250,500,Disponible,,
prod-sdc-007,SDC-007,Enfriador Memo CX15 PRO | Cooler Magnético para Celular,Enfriador Gamer para Celular,MEMO,850,0,1,"Enfriador CX15 para celular, práctico para controlar el calentamiento del teléfono durante juegos o uso intenso. Ideal para mantener el dispositivo más fresco y estable.",https://cdn2.blanxer.com/uploads/66fee8ef11201b5cb450cf97/product_image-img_0537-1238.webp,True,2026-05-10T04:25:23,850,0,850,850,Disponible,,
prod-sdc-008,SDC-008,Audifonos QKZ,Audio,QKZ,0,0,0,"Audífonos QKZ con cable, ideales para escuchar música, jugar y realizar llamadas con sonido claro. Diseño cómodo para uso diario y buena experiencia de audio.",,True,2026-05-10T04:25:23,0,0,0,0,Agotado,,
prod-sdc-009,SDC-009,Audifonos Tipo C,Audio,,0,0,0,"Audífonos Tipo C para celulares con entrada USB-C, ideales para música, llamadas, videos y juegos. Una opción práctica para teléfonos que no tienen entrada auxiliar 3.5 mm.",,True,2026-05-10T04:25:23,0,0,0,0,Agotado,,
prod-sdc-010,SDC-010,Adaptador MicroSD – USB 2.0,Tecnología / Accesorios,,60,0,1,"Adaptador para tarjeta MicroSD, útil para convertir una microSD a tamaño SD y facilitar la transferencia de fotos, videos, documentos y otros archivos en computadoras o lectores compatibles.",,True,2026-05-10T04:25:23,60,0,60,60,Disponible,,
